bq_idx,profile,hit,rank,mrr,ndcg,recall_tier2,top1_score,score_gap,lambda0
1180,q_medium,True,5.0,0.2,0.12698811352972697,0.0,0.8440514536223975,0.04343946110105257,False
1180,q_sentence,True,5.0,0.2,0.12698811352972697,0.0,0.877396763208327,0.08881378621162139,False
1180,q_verbose,True,5.0,0.2,0.17876528670611244,0.08333333333333333,0.8793607807621098,0.06070900844897187,False
1181,q_medium,True,4.0,0.25,0.3055034323285298,0.08333333333333333,0.8633221266293085,0.0600474526679593,False
1181,q_sentence,True,1.0,1.0,0.431813857864436,0.08333333333333333,0.862214141279677,0.045894271775907325,False
1181,q_verbose,True,4.0,0.25,0.22343855445061353,0.08333333333333333,0.8612643731440675,0.04983432638531282,False
1182,q_medium,True,1.0,1.0,0.4463904891391707,0.046511627906976744,0.8879491821427246,0.11339613223391076,False
1182,q_sentence,True,4.0,0.25,0.3055034323285298,0.023255813953488372,0.8683650070747699,0.04830833890037378,False
1182,q_verbose,True,2.0,0.5,0.3180468888115624,0.046511627906976744,0.8680053494068198,0.10174257305829593,False
1183,q_medium,True,3.0,0.3333333333333333,0.39894634979801363,0.046511627906976744,0.8379848249985259,0.04921481166575914,False
1183,q_sentence,True,3.0,0.3333333333333333,0.33117815887346697,0.046511627906976744,0.837185625448227,0.03944181407251823,False
1183,q_verbose,False,,0.0,0.0,0.0,0.8213636646666383,0.023531119586453264,False
1184,q_medium,False,,0.0,0.14052907649642807,0.046511627906976744,0.8023369826444721,0.04472655850367113,False
1184,q_sentence,False,,0.0,0.13677479646319377,0.046511627906976744,0.8094739335370915,0.02407172166506588,False
1184,q_verbose,True,1.0,1.0,0.32825951151166505,0.0,0.8211172328200278,0.03644662478737082,False
1185,q_medium,True,4.0,0.25,0.19608359515797477,0.023255813953488372,0.8568699135232729,0.06083111653224571,False
1185,q_sentence,False,,0.0,0.0,0.0,0.8259427330849859,0.03076153068467158,False
